142
10
0
0
 0 1 1 15 15  7 (D 0,1,1) (S 0,1,31) (S 0,5,31) (S 0,5,6) (S 0,6,11) (S 0,11,6) (S 0,5,10) (D 0,1,1)
 0 1 2 15 15  5 (D 0,1,1) (S 0,3,2) (S 0,3,9) (S 0,9,4) (S 0,13,4) (D 0,1,1)
 0 1 3 15 15  4 (D 0,1,1) (S 0,1,7) (S 0,7,6) (S 0,19,22) (D 0,1,1)
 0 1 4 15 15  4 (D 0,1,1) (S 0,30,29) (S 0,28,26) (S 0,23,25) (D 0,1,1)
 0 1 5 13 13  4 (D 0,1,1) (S 0,10,11) (S 0,11,12) (S 0,12,13) (D 0,1,1)
 0 1 6 14 14  4 (D 0,1,1) (S 0,10,5) (S 0,12,18) (S 0,18,12) (D 0,1,1)
 0 1 7 15 15  4 (D 0,1,1) (S 0,8,9) (S 0,12,11) (S 0,21,18) (D 0,1,1)
 0 1 8 13 13  3 (D 0,1,1) (S 0,15,14) (S 0,12,8) (D 0,1,1)
 0 1 9 12 12  4 (D 0,1,1) (S 0,18,19) (S 0,19,21) (S 0,21,22) (D 0,1,1)
 0 1 10 15 15  4 (D 0,1,1) (S 0,19,18) (S 0,20,22) (S 0,25,28) (D 0,1,1)
