302
21
0
0
 0 1 1 15 15  4 (D 0,1,1) (S 0,1,6) (S 0,6,7) (S 0,19,12) (D 0,1,1)
 0 1 2 15 15  3 (D 0,1,1) (S 0,1,2) (S 0,2,3) (D 0,1,1)
 0 1 3 15 15  4 (D 0,1,1) (S 0,7,13) (S 0,13,7) (S 0,12,18) (D 0,1,1)
 0 1 4 15 15  4 (D 0,1,1) (S 0,18,12) (S 0,18,19) (S 0,20,14) (D 0,1,1)
 0 1 5 15 15  6 (D 0,1,1) (S 0,2,8) (S 0,14,15) (S 0,15,14) (S 0,14,8) (S 0,10,9) (D 0,1,1)
 0 1 6 15 15  4 (D 0,1,1) (S 0,2,13) (S 0,19,25) (S 0,22,23) (D 0,1,1)
 0 1 7 15 15  3 (D 0,1,1) (S 0,18,6) (S 0,19,20) (D 0,1,1)
 0 1 8 15 15  4 (D 0,1,1) (S 0,18,29) (S 0,25,30) (S 0,23,22) (D 0,1,1)
 0 1 9 15 15  4 (D 0,1,1) (S 0,2,1) (S 0,4,3) (S 0,16,10) (D 0,1,1)
 0 1 10 15 15  5 (D 0,1,1) (S 0,10,4) (S 0,4,10) (S 0,16,17) (S 0,28,34) (D 0,1,1)
 0 1 11 14 14  4 (D 0,1,1) (S 0,19,13) (S 0,19,18) (S 0,33,34) (D 0,1,1)
 0 1 12 13 13  4 (D 0,1,1) (S 0,16,15) (S 0,15,21) (S 0,21,15) (D 0,1,1)
 0 1 13 15 15  4 (D 0,1,1) (S 0,8,9) (S 0,9,15) (S 0,28,33) (D 0,1,1)
 0 1 14 13 13  3 (D 0,1,1) (S 0,4,5) (S 0,5,11) (D 0,1,1)
 0 1 15 15 15  4 (D 0,1,1) (S 0,21,22) (S 0,23,28) (S 0,23,24) (D 0,1,1)
 0 1 16 14 14  4 (D 0,1,1) (S 0,25,29) (S 0,30,29) (S 0,31,32) (D 0,1,1)
 0 1 17 11 11  3 (D 0,1,1) (S 0,17,11) (S 0,11,5) (D 0,1,1)
 0 1 18 14 14  3 (D 0,1,1) (S 0,25,26) (S 0,32,33) (D 0,1,1)
 0 1 19 14 14  3 (D 0,1,1) (S 0,30,25) (S 0,26,25) (D 0,1,1)
 0 1 20 14 14  3 (D 0,1,1) (S 0,27,21) (S 0,11,17) (D 0,1,1)
 0 1 21 15 15  2 (D 0,1,1) (S 0,11,24) (D 0,1,1)
